mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
3.55,0.7070000000000001,1.6740000000000002,0.201,0.589,0.361,2.826,5.273,0.0
3.685,0.746,1.7280000000000002,0.219,0.544,0.325,2.8160000000000003,4.88,0.0
3.692,0.747,1.608,0.198,0.557,0.315,2.679,4.604,0.0
3.627,0.75,3.293,0.307,0.67,0.379,4.649,4.7330000000000005,0.0
3.696,0.7659999999999999,2.729,0.267,0.601,0.35100000000000003,3.948,4.702,0.0
3.4930000000000003,0.768,2.582,0.251,0.561,0.332,3.726,4.674,0.0
3.823,0.7659999999999999,2.467,0.262,0.565,0.336,3.63,4.69,0.0
3.77,0.774,2.342,0.25,0.569,0.334,3.495,4.7330000000000005,0.0
3.606,0.7859999999999999,2.194,0.232,0.539,0.32299999999999995,3.2880000000000003,4.698,0.0
3.792,0.773,2.11,0.24,0.555,0.316,3.221,4.734,0.0
3.784,0.7859999999999999,2.093,0.23,0.527,0.317,3.167,4.713,0.0
3.697,0.7929999999999999,1.979,0.231,0.5479999999999999,0.309,3.067,4.716,0.0
3.749,0.8009999999999999,2.055,0.244,0.541,0.299,3.139,4.725,0.0
3.794,0.8079999999999999,1.922,0.231,0.54,0.301,2.994,4.7189999999999985,0.0
3.616,0.8109999999999999,1.905,0.228,0.496,0.28600000000000003,2.915,4.722,0.0
3.788,0.809,1.941,0.218,0.522,0.293,2.974,4.748,0.0
3.779,0.813,1.96,0.22,0.522,0.292,2.994,4.751,0.0
3.977,0.8079999999999999,1.7280000000000002,0.222,0.54,0.295,2.786,4.747,0.0
3.886,0.8140000000000001,1.875,0.224,0.505,0.28300000000000003,2.888,4.833,0.0
3.974,0.818,1.77,0.219,0.5329999999999999,0.28300000000000003,2.805,4.91,0.0
3.978,0.82,1.734,0.223,0.5,0.28600000000000003,2.742,4.812,0.0
3.965,0.8140000000000001,1.814,0.217,0.527,0.282,2.841,4.73,0.0
4.079,0.8290000000000001,1.753,0.221,0.504,0.281,2.759,4.796,0.0
3.97,0.8290000000000001,1.663,0.208,0.49,0.269,2.631,4.904,0.0
3.913,0.8220000000000001,1.705,0.217,0.535,0.269,2.727,4.939,0.0
3.922,0.816,1.721,0.223,0.514,0.263,2.721,4.964,0.0
3.961,0.8340000000000001,1.639,0.211,0.48,0.274,2.604,4.963,0.0
3.947,0.825,1.671,0.207,0.515,0.279,2.673,5.124,0.0
3.959,0.812,1.587,0.202,0.518,0.274,2.58,5.171,0.0
4.0939999999999985,0.8220000000000001,1.515,0.203,0.501,0.281,2.5,5.349,0.0
4.01,0.838,1.5390000000000001,0.196,0.48,0.259,2.474,5.2570000000000014,0.0
4.133,0.8340000000000001,1.4340000000000002,0.19899999999999998,0.4970000000000001,0.25,2.38,4.887,0.0
4.102,0.845,1.3619999999999999,0.19699999999999998,0.455,0.245,2.259,4.631,0.0
4.056,0.85,1.393,0.18100000000000002,0.433,0.243,2.25,4.646,0.0
4.035,0.843,1.604,0.195,0.456,0.253,2.508,4.6560000000000015,0.0
3.967,0.85,1.33,0.172,0.445,0.237,2.185,4.635,0.0
4.181,0.86,1.36,0.183,0.409,0.244,2.1959999999999997,4.7010000000000005,0.0
4.0710000000000015,0.85,1.4469999999999998,0.18,0.47100000000000003,0.24100000000000002,2.339,4.688,0.0
4.115,0.8590000000000001,1.2770000000000001,0.18100000000000002,0.42100000000000004,0.23199999999999998,2.11,4.71,0.0
3.839,0.848,1.4680000000000002,0.17800000000000002,0.43799999999999994,0.23399999999999999,2.318,4.67,0.0
3.9960000000000004,0.866,1.35,0.17600000000000002,0.39,0.23,2.146,4.681,0.0
4.095,0.853,1.3159999999999998,0.174,0.456,0.22899999999999998,2.175,4.754,0.0
3.966,0.855,1.228,0.175,0.42200000000000004,0.231,2.056,4.749,0.0
4.183,0.8490000000000001,1.296,0.174,0.456,0.23600000000000002,2.162,4.803,0.0
4.053,0.8690000000000001,1.197,0.16,0.38,0.233,1.97,4.8069999999999995,0.0
4.101,0.866,1.409,0.174,0.424,0.23600000000000002,2.2430000000000003,4.838,0.0
3.984,0.8490000000000001,1.215,0.17300000000000001,0.44799999999999995,0.233,2.07,4.86,0.0
4.058,0.856,1.272,0.17300000000000001,0.45,0.23399999999999999,2.129,4.854,0.0
4.013,0.858,1.206,0.172,0.40700000000000003,0.228,2.0140000000000002,4.8839999999999995,0.0
3.984,0.856,1.382,0.16399999999999998,0.429,0.221,2.1959999999999997,4.869,0.0
4.0310000000000015,0.873,1.2930000000000001,0.174,0.38799999999999996,0.21899999999999997,2.074,4.957,0.0
4.046,0.861,1.268,0.16,0.409,0.22699999999999998,2.064,4.985,0.0
4.0089999999999995,0.8590000000000001,1.2690000000000001,0.16,0.428,0.228,2.086,5.021,0.0
4.128,0.856,1.125,0.166,0.442,0.228,1.96,5.065,0.0
3.935,0.868,1.311,0.165,0.413,0.23600000000000002,2.124,5.099,0.0
4.1560000000000015,0.858,1.183,0.157,0.428,0.22699999999999998,1.995,5.127999999999999,0.0
3.989,0.8640000000000001,1.3219999999999998,0.163,0.396,0.22,2.102,5.152,0.0
4.042,0.858,1.27,0.162,0.439,0.223,2.094,5.1979999999999995,0.0
4.167,0.8640000000000001,1.192,0.166,0.42200000000000004,0.228,2.009,5.273,0.0
4.176,0.871,1.168,0.153,0.376,0.214,1.911,5.334,0.0
4.291,0.872,1.176,0.153,0.414,0.228,1.971,5.284,0.0
3.861,0.868,1.126,0.16,0.387,0.215,1.888,4.891,0.0
3.853,0.8590000000000001,1.279,0.153,0.415,0.22,2.067,4.587,0.0
4.3180000000000005,0.867,1.153,0.15,0.417,0.221,1.941,4.622,0.0
4.103,0.871,1.186,0.159,0.388,0.231,1.965,4.617,0.0
3.928,0.868,1.226,0.16699999999999998,0.415,0.223,2.031,4.672,0.0
4.1530000000000005,0.86,1.107,0.15,0.434,0.222,1.913,4.664,0.0
4.178,0.86,1.141,0.153,0.422,0.223,1.94,4.676,0.0
3.872,0.8740000000000001,1.144,0.151,0.379,0.218,1.893,4.698,0.0
3.946,0.862,1.08,0.153,0.4370000000000001,0.229,1.898,4.699,0.0
4.101,0.863,1.129,0.152,0.415,0.223,1.92,4.68,0.0
4.164,0.87,1.045,0.158,0.428,0.226,1.857,4.703,0.0
4.137,0.8740000000000001,0.955,0.139,0.407,0.213,1.714,4.718,0.0
4.074,0.856,1.137,0.154,0.454,0.224,1.969,4.738,0.0
4.122,0.873,1.067,0.14800000000000002,0.399,0.224,1.838,4.779,0.0
4.123,0.8640000000000001,1.071,0.153,0.42,0.212,1.856,4.794,0.0
4.037,0.867,1.089,0.158,0.418,0.226,1.892,4.817,0.0
3.848,0.87,0.954,0.146,0.389,0.218,1.7080000000000002,4.7860000000000005,0.0
4.015,0.871,0.892,0.138,0.403,0.22,1.652,4.799,0.0
4.084,0.8740000000000001,1.053,0.147,0.376,0.207,1.784,4.8439999999999985,0.0
3.975,0.87,0.974,0.146,0.391,0.214,1.725,4.877,0.0
4.0539999999999985,0.8740000000000001,0.924,0.147,0.413,0.219,1.703,4.9510000000000005,0.0
4.174,0.858,1.034,0.149,0.435,0.222,1.84,5.046,0.0
4.097,0.873,1.006,0.145,0.411,0.218,1.779,5.021,0.0
4.089,0.861,0.999,0.13699999999999998,0.447,0.223,1.807,5.0939999999999985,0.0
4.0360000000000005,0.8640000000000001,0.945,0.14400000000000002,0.423,0.224,1.737,5.104,0.0
4.089,0.88,1.015,0.14800000000000002,0.364,0.21600000000000005,1.742,5.313,0.0
3.963,0.866,0.901,0.134,0.416,0.213,1.665,5.26,0.0
4.142,0.871,1.018,0.149,0.414,0.209,1.789,5.392,0.0
4.05,0.866,0.94,0.142,0.43,0.209,1.72,5.3279999999999985,0.0
4.048,0.87,1.015,0.146,0.415,0.218,1.7930000000000001,5.207000000000002,0.0
4.085,0.863,1.02,0.152,0.41700000000000004,0.215,1.804,4.853,0.0
3.997,0.8740000000000001,0.9540000000000001,0.138,0.374,0.214,1.68,4.615,0.0
4.077,0.87,0.943,0.14300000000000002,0.402,0.226,1.715,4.638,0.0
4.082,0.866,0.927,0.136,0.424,0.21600000000000005,1.703,4.626,0.0
4.0,0.871,1.063,0.155,0.41700000000000004,0.22,1.854,4.637,0.0
4.013999999999999,0.87,0.9590000000000001,0.145,0.40700000000000003,0.21899999999999997,1.729,4.629,0.0
4.042,0.867,0.96,0.141,0.409,0.212,1.722,4.637,0.0
3.958,0.871,0.981,0.146,0.395,0.207,1.729,4.651,0.0
3.926,0.867,1.012,0.135,0.42100000000000004,0.21100000000000002,1.7790000000000001,4.657,0.0
4.252,0.852,1.012,0.147,0.466,0.218,1.8430000000000002,4.6930000000000005,0.0
4.051,0.855,0.902,0.14,0.451,0.214,1.7069999999999999,4.6610000000000005,0.0
4.17,0.878,0.934,0.14,0.361,0.207,1.642,4.71,0.0
4.1160000000000005,0.8690000000000001,1.03,0.13699999999999998,0.40299999999999997,0.209,1.7790000000000001,4.752,0.0
4.039,0.875,0.8859999999999999,0.134,0.39399999999999996,0.207,1.62,4.71,0.0
3.98,0.88,0.935,0.149,0.39,0.214,1.6880000000000002,4.747,0.0
4.081,0.86,0.958,0.136,0.444,0.22,1.7590000000000001,4.808,0.0
3.9139999999999997,0.8640000000000001,0.9309999999999999,0.13699999999999998,0.4370000000000001,0.22,1.724,4.81,0.0
4.043,0.877,0.961,0.141,0.368,0.21100000000000002,1.681,4.843,0.0
4.133,0.8690000000000001,0.893,0.14,0.39899999999999997,0.209,1.641,4.8919999999999995,0.0
4.066,0.87,0.9059999999999999,0.14,0.41100000000000003,0.205,1.662,4.897,0.0
4.0,0.871,0.972,0.131,0.408,0.212,1.722,4.868,0.0
4.107,0.871,0.9590000000000001,0.13,0.397,0.214,1.7,4.981,0.0
3.939,0.875,0.875,0.131,0.384,0.212,1.602,5.212999999999999,0.0
4.02,0.868,1.026,0.142,0.4,0.22,1.788,4.848,0.0
4.144,0.879,1.0490000000000002,0.141,0.396,0.212,1.798,4.606,0.0
4.121,0.8690000000000001,0.942,0.145,0.405,0.215,1.707,4.602,0.0
4.062,0.866,0.913,0.13699999999999998,0.401,0.212,1.663,4.583,0.0
4.081,0.872,0.908,0.124,0.439,0.204,1.6740000000000002,4.598,0.0
4.018,0.8740000000000001,0.922,0.13699999999999998,0.459,0.212,1.731,4.584,0.0
3.986,0.867,0.922,0.136,0.417,0.208,1.683,4.6,0.0
4.053,0.872,0.916,0.14,0.396,0.21,1.661,4.6560000000000015,0.0
4.147,0.868,1.007,0.132,0.414,0.22,1.7719999999999998,4.664,0.0
4.072,0.87,0.9279999999999999,0.138,0.414,0.21100000000000002,1.6909999999999998,28.521,0.0
4.042,0.8740000000000001,0.9109999999999999,0.133,0.401,0.207,1.652,28.47300000000001,0.0
4.039,0.875,0.889,0.13,0.406,0.209,1.6340000000000001,28.927,0.0
4.038,0.875,0.873,0.127,0.40700000000000003,0.205,1.6119999999999999,29.951999999999998,0.0
4.0089999999999995,0.879,0.852,0.124,0.387,0.201,1.564,32.06,0.0
4.039,0.88,0.8220000000000001,0.122,0.392,0.201,1.538,28.631,0.0
4.012,0.88,0.825,0.118,0.392,0.2,1.535,28.588,0.0
3.996,0.879,0.8190000000000001,0.117,0.395,0.195,1.525,28.936,0.0
4.007,0.879,0.754,0.113,0.401,0.197,1.466,30.012,0.0
4.027,0.878,0.767,0.112,0.397,0.194,1.47,31.919,0.0
3.98,0.879,0.762,0.109,0.397,0.192,1.459,34.159,0.0
4.0310000000000015,0.88,0.731,0.106,0.398,0.193,1.4280000000000002,35.503,0.0
4.018,0.883,0.723,0.106,0.387,0.192,1.408,36.817,0.0
4.0,0.884,0.71,0.102,0.4,0.189,1.401,37.364,0.0
3.963,0.887,0.713,0.101,0.38,0.18600000000000005,1.379,37.849,0.0
3.967,0.885,0.6920000000000001,0.098,0.39799999999999996,0.184,1.3719999999999999,28.69,0.0
3.9819999999999998,0.89,0.6559999999999999,0.096,0.37799999999999995,0.18600000000000003,1.3159999999999998,28.76,0.0
3.9819999999999998,0.888,0.643,0.095,0.397,0.183,1.318,29.109,0.0
3.969,0.889,0.66,0.092,0.386,0.183,1.3219999999999998,30.435,0.0
3.9330000000000003,0.89,0.647,0.091,0.38799999999999996,0.17800000000000002,1.3030000000000002,31.622,0.0
3.9560000000000004,0.889,0.617,0.087,0.391,0.17300000000000001,1.2690000000000001,32.34,0.0
3.929,0.89,0.617,0.086,0.381,0.175,1.2590000000000001,33.87,0.0
3.9610000000000003,0.889,0.603,0.084,0.392,0.17600000000000002,1.255,35.342,0.0
3.9560000000000004,0.8859999999999999,0.589,0.083,0.385,0.172,1.229,36.857,0.0
3.988,0.895,0.578,0.08,0.384,0.17300000000000001,1.215,37.687,0.0
3.962,0.896,0.588,0.079,0.383,0.171,1.222,28.57,0.0
3.952,0.896,0.534,0.076,0.364,0.168,1.143,28.448,0.0
3.981,0.896,0.547,0.075,0.375,0.168,1.166,28.884,0.0
3.944,0.897,0.507,0.073,0.37,0.165,1.115,30.646,0.0
3.942,0.898,0.539,0.072,0.377,0.167,1.155,33.047,0.0
3.939,0.9,0.5,0.07,0.374,0.162,1.106,35.146,0.0
3.979,0.903,0.476,0.069,0.363,0.16,1.068,36.351,0.0
3.952,0.902,0.483,0.065,0.362,0.163,1.073,37.243,0.0
3.952,0.903,0.485,0.064,0.359,0.16,1.069,37.618,0.0
3.936,0.904,0.479,0.063,0.35,0.158,1.05,38.424,0.0
